Date,Price,Open,High,Low,Vol.,Change %
22-Sep-17,56.86,56.5,56.91,56.22,208.36K,0.76
21-Sep-17,56.43,56.17,56.53,55.76,251.62K,0.25
20-Sep-17,56.29,55.35,56.48,55.26,295.65K,2.09
19-Sep-17,55.14,55.48,55.89,54.89,221.76K,-0.61
18-Sep-17,55.48,55.59,55.95,54.82,278.12K,-0.25
15-Sep-17,55.62,55.29,55.85,54.86,271.07K,0.27
14-Sep-17,55.47,55.02,55.99,54.93,327.35K,0.56
13-Sep-17,55.16,54.18,55.21,54.03,291.47K,1.64
12-Sep-17,54.27,53.77,54.44,53.42,279.34K,0.8
11-Sep-17,53.84,53.82,54.14,53.04,276.43K,0.11
8-Sep-17,53.78,54.54,54.87,53.57,307.45K,-1.3
7-Sep-17,54.49,54.13,54.67,53.89,306.72K,0.54
6-Sep-17,54.2,53.16,54.31,53.09,322.60K,1.54
5-Sep-17,53.38,52.3,53.66,52.09,300.78K,1.99
4-Sep-17,52.34,52.85,52.85,51.99,121.54K,-0.78
1-Sep-17,52.75,52.84,52.95,52.24,262.20K,0.71
31-Aug-17,52.38,50.58,52.43,50.56,33.50K,2.99
30-Aug-17,50.86,51.97,52.01,50.58,152.59K,-2.19
29-Aug-17,52,52.04,52.19,51.36,139.97K,0.21
28-Aug-17,51.89,52.38,52.84,51.52,141.58K,-0.99
25-Aug-17,52.41,52.3,52.68,51.93,218.09K,0.71
24-Aug-17,52.04,52.55,52.71,51.61,255.76K,-1.01
23-Aug-17,52.57,51.68,52.63,51.45,287.20K,1.35
22-Aug-17,51.87,51.78,52.28,51.39,313.92K,0.41
21-Aug-17,51.66,53,53,51.3,271.57K,-2.01
18-Aug-17,52.72,50.89,52.96,50.78,317.44K,3.31
17-Aug-17,51.03,50.4,51.12,50,334.30K,1.51
16-Aug-17,50.27,50.98,51.4,50.15,305.55K,-1.04
15-Aug-17,50.8,50.65,51.15,50.02,334.16K,0.14
14-Aug-17,50.73,52.02,52.38,50.55,281.57K,-2.63
11-Aug-17,52.1,51.94,52.28,51.3,245.31K,0.39
10-Aug-17,51.9,52.72,53.64,51.67,450.28K,-1.52
9-Aug-17,52.7,51.99,52.85,51.81,265.61K,1.07
8-Aug-17,52.14,52.24,52.73,51.82,235.16K,-0.44
7-Aug-17,52.37,52.39,52.53,51.37,260.94K,-0.1
4-Aug-17,52.42,51.97,52.52,51.43,278.78K,0.79
3-Aug-17,52.01,52.24,52.89,51.77,402.66K,-0.67
2-Aug-17,52.36,51.38,52.43,51.18,406.42K,1.12
1-Aug-17,51.78,52.7,52.93,50.88,392.64K,-1.65
31-Jul-17,52.65,52.6,52.92,52.2,25.54K,0.25
28-Jul-17,52.52,51.6,52.7,51.31,159.15K,2
27-Jul-17,51.49,50.86,51.64,50.5,184.43K,1.02
26-Jul-17,50.97,50.63,51.06,50.07,258.95K,1.53
25-Jul-17,50.2,48.64,50.91,48.63,284.29K,3.29
24-Jul-17,48.6,47.96,48.77,47.68,287.93K,1.12
21-Jul-17,48.06,49.33,49.65,47.81,338.35K,-2.52
20-Jul-17,49.3,49.65,50.19,49.19,315.34K,-0.8
19-Jul-17,49.7,48.7,49.81,48.58,300.37K,1.76
18-Jul-17,48.84,48.4,49.41,48.24,251.50K,0.87
17-Jul-17,48.42,49.14,49.26,48.31,227.42K,-1
14-Jul-17,48.91,48.37,49.11,48.15,295.66K,1.01
13-Jul-17,48.42,47.7,48.53,47.18,262.63K,1.42
12-Jul-17,47.74,48.21,48.79,47.35,333.70K,0.46
11-Jul-17,47.52,46.99,48.21,46.29,283.39K,1.37
10-Jul-17,46.88,46.84,47.38,46.11,268.90K,0.36
7-Jul-17,46.71,47.76,47.76,46.28,302.32K,-2.91
6-Jul-17,48.11,48.28,49.18,47.77,308.26K,0.67
5-Jul-17,47.79,49.67,49.84,47,372.98K,-3.67
4-Jul-17,49.61,49.63,49.9,49.29,129.57K,-0.14
3-Jul-17,49.68,48.95,49.71,48.54,244.52K,3.67
30-Jun-17,47.92,47.46,48.12,47.46,26.18K,1.05
29-Jun-17,47.42,47.39,48.03,47.14,179.56K,0.23
28-Jun-17,47.31,46.25,47.47,46.25,162.58K,1.41
27-Jun-17,46.65,45.85,47.06,45.79,263.26K,1.79
26-Jun-17,45.83,45.63,46.24,45.04,203.22K,0.64
23-Jun-17,45.54,45.28,45.75,45.03,252.26K,0.71
22-Jun-17,45.22,44.81,45.79,44.53,346.76K,0.89
21-Jun-17,44.82,45.89,46.63,44.35,389.71K,-2.61
20-Jun-17,46.02,46.96,47.23,45.42,343.46K,-1.9
19-Jun-17,46.91,47.21,47.76,46.77,261.49K,-0.97
16-Jun-17,47.37,46.82,47.61,46.81,227.42K,0.96
15-Jun-17,46.92,46.8,47.2,46.7,301.40K,-0.17
14-Jun-17,47,48.18,48.69,46.74,464.42K,-3.53
13-Jun-17,48.72,48.32,48.82,47.87,321.28K,0.89
12-Jun-17,48.29,48.06,49.15,48.01,316.56K,0.29
9-Jun-17,48.15,47.79,48.56,47.4,285.82K,0.61
8-Jun-17,47.86,48.26,48.6,47.56,445.97K,-0.42
7-Jun-17,48.06,49.97,50.14,47.96,461.75K,-4.11
6-Jun-17,50.12,49.57,50.3,49,329.71K,1.31
5-Jun-17,49.47,49.87,50.74,49.04,348.41K,-0.96
2-Jun-17,49.95,50.23,50.52,48.95,451.46K,-1.34
1-Jun-17,50.63,51.17,51.45,50.23,462.92K,0.64
31-May-17,50.31,51.92,51.92,49.81,41.68K,-2.95
30-May-17,51.84,52.25,52.35,51.19,137.21K,-0.86
29-May-17,52.29,52.24,52.61,51.86,36.59K,0.27
26-May-17,52.15,51.38,52.3,50.71,265.83K,1.34
25-May-17,51.46,54.15,54.67,51.03,464.50K,-4.63
24-May-17,53.96,54.14,54.62,53.66,351.64K,-0.35
23-May-17,54.15,53.87,54.43,53.2,328.33K,0.52
22-May-17,53.87,53.85,54.37,53.66,379.12K,0.48
19-May-17,53.61,52.57,53.82,52.55,333.27K,2.09
18-May-17,52.51,52.19,52.74,51.11,363.69K,0.57
17-May-17,52.21,51.2,52.61,51.04,331.36K,1.08
16-May-17,51.65,51.88,52.36,51.1,340.96K,-0.33
15-May-17,51.82,50.89,52.63,50.74,331.42K,1.93
12-May-17,50.84,50.76,51.09,50.33,304.76K,0.14
11-May-17,50.77,50.28,51.16,50.25,315.59K,1.1
10-May-17,50.22,48.95,50.63,48.81,368.11K,3.06
9-May-17,48.73,49.44,49.72,48.39,332.91K,-1.24
8-May-17,49.34,49.27,49.92,48.48,400.72K,0.49
5-May-17,49.1,48.45,49.63,46.64,530.44K,1.49
4-May-17,48.38,50.59,50.73,48.16,541.58K,-4.75
3-May-17,50.79,50.99,51.14,50.2,357.19K,0.65
2-May-17,50.46,51.39,52.16,50.14,364.06K,-2.06
1-May-17,51.52,51.88,51.97,51.22,121.53K,-0.41
28-Apr-17,51.73,51.58,52.12,51.31,23.20K,0.56
27-Apr-17,51.44,51.57,51.76,50.45,187.13K,-0.73
